,movie_id,cast_id,cast_character,actor_id,cast_name
0,862,14.0,Woody (voice),31.0,Tom Hanks
1,862,15.0,Buzz Lightyear (voice),12898.0,Tim Allen
2,862,16.0,Mr. Potato Head (voice),7167.0,Don Rickles
3,862,17.0,Slinky Dog (voice),12899.0,Jim Varney
4,862,18.0,Rex (voice),12900.0,Wallace Shawn
5,862,19.0,Hamm (voice),7907.0,John Ratzenberger
6,862,20.0,Bo Peep (voice),8873.0,Annie Potts
7,862,26.0,Andy (voice),1116442.0,John Morris
8,862,22.0,Sid (voice),12901.0,Erik von Detten
9,862,23.0,Mrs. Davis (voice),12133.0,Laurie Metcalf
10,862,24.0,Sergeant (voice),8655.0,R. Lee Ermey
11,862,25.0,Hannah (voice),12903.0,Sarah Freeman
12,862,27.0,TV Announcer (voice),37221.0,Penn Jillette
13,8844,1.0,Alan Parrish,2157.0,Robin Williams
14,8844,8.0,Samuel Alan Parrish / Van Pelt,8537.0,Jonathan Hyde
15,8844,2.0,Judy Sheperd,205.0,Kirsten Dunst
16,8844,24.0,Peter Shepherd,145151.0,Bradley Pierce
17,8844,10.0,Sarah Whittle,5149.0,Bonnie Hunt
18,8844,25.0,Nora Shepherd,10739.0,Bebe Neuwirth
19,8844,26.0,Carl Bentley,58563.0,David Alan Grier
20,8844,11.0,Carol Anne Parrish,1276.0,Patricia Clarkson
21,8844,14.0,Alan Parrish (young),46530.0,Adam Hann-Byrd
22,8844,13.0,Sarah Whittle (young),56523.0,Laura Bell Bundy
23,8844,31.0,Exterminator,51551.0,James Handy
24,8844,12.0,Mrs. Thomas the Realtor,56522.0,Gillian Barber
25,8844,28.0,Benjamin,1000304.0,Brandon Obray
26,8844,29.0,Caleb,188949.0,Cyrus Thiedeke
27,8844,30.0,Billy Jessup,1076551.0,Gary Joseph Thorup
28,8844,32.0,Cop,1480246.0,Leonard Zola
29,8844,33.0,Bum,25024.0,Lloyd Berry
30,8844,34.0,Jim Shepherd,27110.0,Malcolm Stewart
31,8844,35.0,Martha Shepherd,53715.0,Annabel Kershaw
32,8844,36.0,Gun Salesman,1379424.0,Darryl Henriques
33,8844,37.0,Paramedic,1235504.0,Robyn Driscoll
34,8844,50.0,Paramedic,25389.0,Peter Bryant
35,8844,39.0,Girl,1483449.0,Sarah Gilson
36,8844,40.0,Girl,1483450.0,Florica Vlad
37,8844,41.0,Baker,1483451.0,June Lion
38,8844,42.0,Pianist,1483452.0,Brenda Lockmuller
39,15602,2.0,Max Goldman,6837.0,Walter Matthau
40,15602,3.0,John Gustafson,3151.0,Jack Lemmon
41,15602,4.0,Ariel Gustafson,13567.0,Ann-Margret
42,15602,5.0,Maria Sophia Coletta Ragetti,16757.0,Sophia Loren
43,15602,6.0,Melanie Gustafson,589.0,Daryl Hannah
44,15602,9.0,Grandpa Gustafson,16523.0,Burgess Meredith
45,15602,10.0,Jacob Goldman,7166.0,Kevin Pollak
46,31357,1.0,Savannah 'Vannah' Jackson,8851.0,Whitney Houston
47,31357,2.0,Bernadine 'Bernie' Harris,9780.0,Angela Bassett
48,31357,3.0,Gloria 'Glo' Matthews,18284.0,Loretta Devine
49,31357,4.0,Robin Stokes,51359.0,Lela Rochon
50,31357,5.0,Marvin King,66804.0,Gregory Hines
51,31357,6.0,Kenneth Dawkins,352.0,Dennis Haysbert
52,31357,8.0,"John Harris, Sr.",87118.0,Michael Beach
53,31357,10.0,Troy,34.0,Mykelti Williamson
54,31357,20.0,Joseph,1276777.0,Lamont Johnson
